Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),,Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle),,,,,
Polr2m,1.06,0.40,,1.20,0.02,,,,,
Polr3c,1.08,0.24,,1.12,0.11,,,,,
Polr3d,1.02,0.77,,1.02,0.69,,,,,
Polr3f,1.27,0.04,,1.56,0.00,,,,,
Polr3h,-1.04,0.51,,-1.08,0.19,,,,,
Polr3k,1.15,0.57,,1.07,0.76,,,,,
Polrmt,1.22,0.02,,1.22,0.02,,,,,
Pom121,1.22,0.04,,1.30,0.01,,,,,
Pomgnt1,1.11,0.04,,1.06,0.22,,,,,
Pomgnt2,-1.01,0.89,,-1.01,0.80,,,,,
Pomk,1.17,0.01,,1.20,0.01,,,,,
Pomt1,1.07,0.47,,1.11,0.21,,,,,
Pon2,1.13,0.18,,1.11,0.31,,,,,
Pop4,1.07,0.32,,1.05,0.45,,,,,
Pop5,-1.09,0.29,,-1.18,0.06,,,,,
Pop7,-1.09,0.06,,-1.18,0.00,,,,,
Por,1.07,0.23,,1.01,0.90,,,,,
Porcn,1.03,0.51,,1.01,0.90,,,,,
Pou3f1,1.07,0.49,,1.06,0.48,,,,,
Pou3f2,-1.01,0.96,,1.41,0.00,,,,,
Pou3f3,1.23,0.01,,1.29,0.00,,,,,
Pou3f4,1.39,0.06,,1.64,0.02,,,,,
Pou6f1,1.63,0.00,,1.69,0.00,,,,,
Ppa1,-1.08,0.16,,1.07,0.22,,,,,
Ppan,1.03,0.60,,-1.10,0.14,,,,,
Ppcs,1.01,0.87,,-1.07,0.22,,,,,
Ppdpf,-1.18,0.03,,-1.40,0.00,,,,,
Ppfia3,1.28,0.01,,1.25,0.01,,,,,
Ppfia4,1.36,0.00,,1.25,0.02,,,,,
Ppia,-1.17,0.00,,-1.21,0.00,,,,,
Ppib,-1.11,0.01,,-1.20,0.00,,,,,
Ppid,1.16,0.05,,1.36,0.00,,,,,
Ppif,1.02,0.70,,1.03,0.59,,,,,
Ppig,1.27,0.03,,1.58,0.00,,,,,
Ppil2,1.09,0.09,,1.02,0.73,,,,,
Ppil4,1.21,0.02,,1.33,0.00,,,,,
Ppip5k1,1.43,0.00,,1.61,0.00,,,,,
Ppm1b,1.16,0.09,,1.35,0.00,,,,,
Ppm1g,1.02,0.65,,1.03,0.53,,,,,
Ppme1,1.01,0.88,,1.02,0.62,,,,,
Ppox,1.00,0.95,,-1.13,0.15,,,,,
Ppp1ca,-1.01,0.77,,-1.04,0.22,,,,,
Ppp1cb,1.15,0.27,,1.77,0.00,,,,,
Ppp1cc,1.16,0.07,,1.43,0.00,,,,,
Ppp1r10,1.22,0.01,,1.20,0.01,,,,,
Ppp1r11,1.03,0.47,,-1.06,0.11,,,,,
Ppp1r12c,1.13,0.05,,1.05,0.39,,,,,
Ppp1r13b,1.21,0.01,,1.29,0.00,,,,,
Ppp1r14a,-1.05,0.59,,-1.48,0.00,,,,,
Ppp1r14b,-1.04,0.38,,-1.29,0.00,,,,,
Ppp1r15a,1.03,0.57,,1.04,0.40,,,,,
Ppp1r15b,1.27,0.02,,1.55,0.00,,,,,
Ppp1r16a,1.17,0.02,,1.07,0.26,,,,,
Ppp1r1a,1.13,0.30,,-1.12,0.28,,,,,
Ppp1r1b,-1.01,0.99,,-1.25,0.04,,,,,
Ppp1r37,1.15,0.05,,1.07,0.32,,,,,
Ppp1r3c,1.25,0.01,,1.25,0.01,,,,,
Ppp1r3d,1.19,0.07,,1.36,0.00,,,,,
Ppp1r3e,1.65,0.01,,1.35,0.12,,,,,
Ppp1r8,1.05,0.32,,1.03,0.55,,,,,
Ppp1r9b,1.28,0.01,,1.15,0.08,,,,,
Ppp2ca,1.17,0.07,,1.52,0.00,,,,,
Ppp2cb,1.06,0.30,,1.16,0.03,,,,,
Ppp2r1a,-1.01,0.77,,-1.00,0.95,,,,,
Ppp2r2a,1.18,0.06,,1.43,0.00,,,,,
Ppp2r5b,1.03,0.52,,-1.02,0.75,,,,,
Ppp3ca,1.47,0.01,,1.62,0.00,,,,,
Ppp3cb,1.13,0.15,,1.43,0.00,,,,,
Ppp3r1,1.13,0.19,,1.37,0.01,,,,,
Ppp4c,-1.09,0.09,,-1.16,0.01,,,,,
Ppp4r2,1.12,0.29,,1.48,0.00,,,,,
Ppp5c,1.01,0.79,,1.04,0.29,,,,,
Ppp6r1,1.35,0.00,,1.24,0.02,,,,,
Ppp6r2,1.31,0.00,,1.31,0.00,,,,,
Pprc1,1.22,0.04,,1.40,0.00,,,,,
Ppt1,1.31,0.01,,1.39,0.00,,,,,
Ppt2,1.09,0.11,,1.05,0.31,,,,,
Pptc7,1.17,0.03,,1.35,0.00,,,,,
Pqbp1,-1.07,0.15,,-1.14,0.01,,,,,
Praf2,-1.01,0.75,,-1.05,0.31,,,,,
Prcc,1.01,0.83,,-1.03,0.60,,,,,
Prdx1,1.03,0.56,,-1.08,0.22,,,,,
Prdx2,-1.18,0.00,,-1.22,0.00,,,,,
Prdx3,1.01,0.92,,1.16,0.01,,,,,
Prdx5,-1.15,0.00,,-1.28,0.00,,,,,
Prdx6,1.05,0.35,,-1.02,0.80,,,,,
Preb,1.05,0.23,,-1.02,0.72,,,,,
Prelid1,-1.10,0.03,,-1.15,0.00,,,,,
Prelid3b,-1.02,0.68,,-1.03,0.64,,,,,
Prelp,1.35,0.14,,1.06,0.50,,,,,
Prepl,1.58,0.00,,1.79,0.00,,,,,
Prickle1,1.16,0.06,,1.32,0.00,,,,,
Prkab1,1.20,0.02,,1.15,0.07,,,,,
Prkaca,1.04,0.35,,-1.05,0.21,,,,,
Prkag1,1.08,0.10,,1.08,0.08,,,,,
Prkag2,1.10,0.16,,1.25,0.00,,,,,
Prkar1a,1.23,0.00,,1.29,0.00,,,,,
Prkar1b,1.16,0.02,,1.11,0.07,,,,,
Prkcdbp,1.08,0.56,,-1.38,0.02,,,,,
Prkcg,1.16,0.09,,1.21,0.03,,,,,
Prkci,1.15,0.08,,1.48,0.00,,,,,
Prkcsh,1.05,0.23,,-1.03,0.50,,,,,
Prkcz,1.14,0.05,,1.15,0.04,,,,,
Prkra,1.13,0.08,,1.14,0.08,,,,,
Prkrir,1.12,0.13,,1.40,0.00,,,,,
Prmt1,-1.04,0.62,,-1.09,0.34,,,,,
Prmt5,1.09,0.07,,1.13,0.02,,,,,
Prnp,1.05,0.19,,1.18,0.00,,,,,
Prodh,1.41,0.00,,1.18,0.09,,,,,
Prosc,1.15,0.05,,1.16,0.04,,,,,
Prpf18,1.29,0.00,,1.45,0.00,,,,,
Prpf19,1.09,0.05,,1.08,0.09,,,,,
Prpf31,1.09,0.13,,1.10,0.10,,,,,
Prpf38a,1.03,0.69,,1.20,0.05,,,,,
Prpf38b,1.15,0.10,,1.38,0.00,,,,,
Prpf4,1.16,0.06,,1.27,0.01,,,,,
Prpf40b,1.23,0.00,,1.17,0.02,,,,,
Prpf4b,1.57,0.00,,2.03,0.00,,,,,
Prpf8,1.26,0.01,,1.52,0.00,,,,,
Prps1,1.07,0.43,,1.36,0.00,,,,,
Prpsap1,1.09,0.17,,1.07,0.27,,,,,
Prpsap2,1.10,0.14,,1.21,0.01,,,,,
Prr13,-1.04,0.45,,-1.20,0.01,,,,,
Prr18,1.44,0.04,,1.12,0.37,,,,,
Prr3,1.03,0.57,,1.08,0.15,,,,,
Prr7,-1.14,0.14,,-1.38,0.00,,,,,
Prrc2a,1.35,0.00,,1.39,0.00,,,,,
Prrc2c,1.59,0.01,,2.15,0.00,,,,,
Prrt1,1.10,0.18,,1.02,0.81,,,,,
Prrt2,1.13,0.06,,1.07,0.26,,,,,
Prrt3,1.14,0.05,,1.15,0.04,,,,,
Prss23,1.02,0.79,,1.12,0.25,,,,,
Psap,1.07,0.28,,1.01,0.74,,,,,
Psat1,1.14,0.09,,1.16,0.08,,,,,
Psd,1.04,0.59,,-1.12,0.15,,,,,
Psd2,1.21,0.04,,1.27,0.02,,,,,
Psenen,-1.15,0.01,,-1.29,0.00,,,,,
Psip1,1.20,0.07,,1.50,0.00,,,,,
Psma1,1.08,0.20,,1.13,0.06,,,,,
Psma2,-1.07,0.27,,-1.03,0.56,,,,,
Psma3,1.10,0.35,,1.29,0.03,,,,,
Psma4,-1.03,0.59,,1.02,0.76,,,,,
Psma5,-1.09,0.17,,-1.07,0.26,,,,,
Psma6,1.06,0.34,,1.19,0.01,,,,,
Psma7,-1.09,0.05,,-1.16,0.00,,,,,
Psmb1,-1.00,1.00,,1.02,0.75,,,,,
Psmb10,-1.10,0.09,,-1.37,0.00,,,,,
Psmb2,-1.17,0.02,,-1.10,0.12,,,,,
Psmb3,-1.22,0.00,,-1.32,0.00,,,,,
Psmb4,-1.06,0.12,,-1.11,0.01,,,,,
Psmb5,-1.20,0.00,,-1.26,0.00,,,,,
Psmb6,-1.28,0.00,,-1.61,0.00,,,,,
Psmb7,-1.09,0.08,,-1.08,0.12,,,,,
Psmb8,-1.13,0.51,,-1.30,0.19,,,,,
Psmc1,1.05,0.31,,-1.04,0.44,,,,,
Psmc2,1.02,0.65,,1.01,0.75,,,,,
Psmc3,-1.04,0.27,,-1.13,0.01,,,,,
Psmc3ip,-1.01,0.88,,-1.09,0.13,,,,,
Psmc4,-1.03,0.43,,-1.08,0.04,,,,,
Psmc5,-1.01,0.82,,-1.05,0.22,,,,,
Psmc6,1.10,0.24,,1.33,0.00,,,,,
Psmd1,1.20,0.01,,1.39,0.00,,,,,
Psmd11,1.16,0.03,,1.19,0.01,,,,,
Psmd12,1.10,0.13,,1.16,0.03,,,,,
Psmd13,-1.06,0.12,,-1.07,0.10,,,,,
Psmd2,1.15,0.03,,1.15,0.03,,,,,
Psmd3,1.03,0.50,,-1.01,0.84,,,,,
Psmd4,-1.05,0.27,,-1.10,0.04,,,,,
Psmd5,1.04,0.53,,1.12,0.08,,,,,
Psmd6,1.06,0.22,,1.08,0.12,,,,,
Psmd7,-1.04,0.39,,-1.06,0.24,,,,,
Psmd8,-1.06,0.15,,-1.09,0.04,,,,,
Psmd9,1.03,0.64,,-1.03,0.71,,,,,
Psme1,-1.23,0.04,,-1.38,0.00,,,,,
Psme3,1.10,0.02,,1.14,0.00,,,,,
Psmf1,-1.13,0.05,,-1.21,0.00,,,,,
Psmg1,1.04,0.46,,1.00,0.97,,,,,
Psmg4,-1.20,0.04,,-1.27,0.01,,,,,
Psrc1,1.09,0.35,,-1.04,0.69,,,,,
Ptbp1,1.14,0.23,,1.04,0.61,,,,,
Ptcd1,1.18,0.03,,1.14,0.06,,,,,
Ptcd3,1.20,0.06,,1.50,0.00,,,,,
Ptdss1,1.27,0.01,,1.34,0.00,,,,,
Ptdss2,1.11,0.04,,1.09,0.09,,,,,
Ptgds,1.67,0.58,,-1.18,0.82,,,,,
Ptger1,1.25,0.13,,1.18,0.24,,,,,
Ptges2,-1.03,0.48,,-1.12,0.02,,,,,
Ptges3,1.00,0.86,,1.65,0.01,,,,,
Ptges3l1,-1.01,0.87,,1.12,0.12,,,,,
Ptgr2,1.13,0.07,,1.15,0.05,,,,,
Ptgs2,1.59,0.01,,1.80,0.00,,,,,
Ptk2b,1.23,0.01,,1.20,0.03,,,,,
Ptma,-1.07,0.30,,-1.05,0.45,,,,,
Ptms,-1.23,0.01,,-1.37,0.00,,,,,
Ptn,1.08,0.44,,1.08,0.50,,,,,
Ptov1,1.44,0.00,,1.33,0.00,,,,,
Ptp4a1,1.19,0.13,,1.44,0.01,,,,,
Ptp4a2,1.33,0.00,,1.38,0.00,,,,,
Ptp4a3,-1.05,0.44,,-1.15,0.02,,,,,
Ptpa,1.05,0.31,,-1.01,0.83,,,,,
Ptpmt1,1.02,0.70,,1.05,0.31,,,,,
Ptpn11,1.37,0.00,,1.36,0.00,,,,,
Ptpn23,1.28,0.01,,1.30,0.01,,,,,
Ptpn5,1.16,0.01,,1.19,0.00,,,,,
Ptpra,1.21,0.01,,1.20,0.02,,,,,
Ptprn,1.24,0.02,,1.26,0.01,,,,,
Ptprs,1.40,0.01,,1.49,0.00,,,,,
Ptprz1,1.41,0.01,,1.91,0.00,,,,,
Ptrh2,1.08,0.27,,1.15,0.05,,,,,
Ptrhd1,-1.02,0.71,,-1.18,0.08,,,,,
Pttg1ip,1.12,0.15,,1.02,0.75,,,,,
Puf60,1.09,0.05,,1.04,0.36,,,,,
Pum2,1.20,0.07,,1.68,0.00,,,,,
Purb,2.19,0.00,,2.70,0.00,,,,,
Purg,1.20,0.28,,1.73,0.01,,,,,
Pus1,-1.05,0.36,,-1.07,0.25,,,,,
Pus3,1.20,0.04,,1.51,0.00,,,,,
Pusl1,1.41,0.00,,1.26,0.03,,,,,
Pvalb,1.01,0.85,,-1.14,0.17,,,,,
Pwp2,1.21,0.03,,1.30,0.01,,,,,
Pwwp2b,1.09,0.28,,-1.02,0.72,,,,,
Pycard,-1.26,0.14,,-1.26,0.19,,,,,
Pycr2,-1.06,0.30,,-1.14,0.04,,,,,
Pycrl,-1.14,0.02,,-1.11,0.05,,,,,
Pygb,1.20,0.02,,1.22,0.01,,,,,
Pygm,1.20,0.03,,1.10,0.21,,,,,
Pygo2,1.05,0.39,,1.09,0.10,,,,,
Qars,1.20,0.00,,1.07,0.19,,,,,
Qdpr,1.05,0.44,,-1.07,0.28,,,,,
Qpctl,1.10,0.04,,1.02,0.62,,,,,
Qrich1,1.28,0.00,,1.31,0.00,,,,,
R3hdm4,1.01,0.77,,-1.03,0.59,,,,,
Rab10,1.26,0.02,,1.54,0.00,,,,,
Rab11a,1.07,0.45,,1.36,0.00,,,,,
Rab11b,1.03,0.44,,-1.10,0.05,,,,,
Rab13,1.16,0.25,,-1.04,0.77,,,,,
Rab14,1.28,0.01,,1.44,0.00,,,,,
Rab15,1.14,0.05,,1.11,0.10,,,,,
Rab18,1.17,0.11,,1.47,0.00,,,,,
Rab1a,1.09,0.25,,1.26,0.01,,,,,
Rab1b,-1.03,0.43,,-1.10,0.03,,,,,
Rab21,1.28,0.01,,1.46,0.00,,,,,
Rab24,-1.02,0.59,,-1.14,0.01,,,,,
Rab26,-1.08,0.17,,-1.04,0.50,,,,,
Rab29,-1.04,0.55,,-1.08,0.22,,,,,
Rab33a,1.00,0.97,,-1.09,0.22,,,,,
Rab33b,1.08,0.32,,1.21,0.04,,,,,
Rab34,1.03,0.85,,-1.15,0.09,,,,,
Rab35,1.17,0.01,,1.17,0.01,,,,,
Rab3a,1.01,0.92,,-1.01,0.76,,,,,
Rab3d,1.16,0.05,,1.12,0.11,,,,,
Rab40b,1.09,0.30,,1.27,0.01,,,,,
Rab4a,1.02,0.72,,1.02,0.63,,,,,
Rab4b,-1.12,0.05,,-1.22,0.00,,,,,
Rab5a,1.53,0.00,,1.81,0.00,,,,,
Rab5b,1.13,0.02,,1.24,0.00,,,,,
Rab5c,-1.02,0.65,,-1.04,0.28,,,,,
Rab6a,1.06,0.48,,1.35,0.01,,,,,
Rab6b,1.20,0.02,,1.33,0.00,,,,,
Rab7a,1.02,0.59,,1.03,0.48,,,,,
Rab8a,1.06,0.24,,-1.02,0.63,,,,,
Rab9b,1.22,0.13,,1.96,0.00,,,,,
Rabac1,-1.18,0.01,,-1.36,0.00,,,,,
Rabggta,1.19,0.03,,1.23,0.01,,,,,
Rabggtb,1.02,0.64,,1.14,0.03,,,,,
Rabif,1.27,0.01,,1.42,0.00,,,,,
Rabl2a,1.05,0.35,,1.04,0.38,,,,,
Rabl6,1.17,0.02,,1.15,0.03,,,,,
Rac1,1.23,0.00,,1.18,0.01,,,,,
Rack1,-1.05,0.31,,-1.09,0.06,,,,,
Rad21,1.20,0.05,,1.45,0.00,,,,,
Rad23a,1.02,0.72,,-1.17,0.03,,,,,
Rad23b,1.26,0.03,,1.68,0.00,,,,,
Rae1,-1.02,0.73,,1.00,0.99,,,,,
Raf1,1.25,0.01,,1.22,0.01,,,,,
Rai1,1.32,0.01,,1.48,0.00,,,,,
Rala,1.44,0.00,,1.61,0.00,,,,,
Ralbp1,1.19,0.02,,1.25,0.01,,,,,
Ralgapb,1.30,0.00,,1.54,0.00,,,,,
Ralgds,1.26,0.02,,1.21,0.04,,,,,
Raly,-1.01,0.86,,-1.03,0.61,,,,,
Ramp2,-1.03,0.55,,-1.23,0.00,,,,,
Ran,-1.06,0.21,,1.05,0.29,,,,,
Ranbp1,-1.06,0.29,,-1.12,0.07,,,,,
Ranbp2,1.49,0.01,,2.40,0.00,,,,,
Ranbp6,1.21,0.14,,1.93,0.00,,,,,
Rangap1,1.03,0.60,,1.07,0.21,,,,,
Rangrf,-1.03,0.67,,-1.12,0.07,,,,,
Rap1b,1.18,0.06,,1.24,0.02,,,,,
Rap1gap,1.00,0.94,,1.02,0.63,,,,,
Rap1gap2,1.07,0.29,,1.28,0.00,,,,,
Rap1gds1,1.18,0.07,,1.33,0.00,,,,,
Rap2a,1.72,0.00,,1.60,0.01,,,,,
Rap2b,1.45,0.00,,1.30,0.01,,,,,
Rap2c,1.31,0.06,,1.96,0.00,,,,,
Rapgef2,1.30,0.02,,1.57,0.00,,,,,
Rapgef3,1.26,0.04,,1.20,0.09,,,,,
Rapgef5,1.32,0.01,,1.64,0.00,,,,,
Rarres2,1.10,0.48,,-1.25,0.10,,,,,
Rars,1.08,0.35,,1.22,0.02,,,,,
Rasal1,1.17,0.02,,1.16,0.03,,,,,
Rasd1,1.10,0.35,,-1.01,0.90,,,,,
Rasd2,1.20,0.02,,1.16,0.04,,,,,
Rasgrf1,1.21,0.02,,1.37,0.00,,,,,
Rasgrp1,1.73,0.00,,2.14,0.00,,,,,
Rasip1,1.03,0.66,,-1.08,0.23,,,,,
Rasl10a,-1.02,0.99,,1.00,0.78,,,,,
Rasl10b,1.36,0.02,,1.29,0.04,,,,,
Rasl11b,1.01,0.87,,1.03,0.64,,,,,
Rasl2-9,-1.18,0.05,,-1.39,0.00,,,,,
Rassf1,-1.11,0.23,,-1.01,0.90,,,,,
Rassf7,-1.30,0.01,,-1.17,0.11,,,,,
Raver1,1.12,0.05,,1.10,0.08,,,,,
Rbbp5,1.12,0.12,,1.28,0.00,,,,,
Rbbp7,1.13,0.12,,1.42,0.00,,,,,
Rbbp9,1.24,0.04,,1.51,0.00,,,,,
Rbck1,1.05,0.47,,-1.00,0.96,,,,,
Rbfa,-1.07,0.26,,-1.20,0.01,,,,,
Rbfox3,1.49,0.00,,1.43,0.00,,,,,
Rbm10,1.16,0.06,,1.20,0.03,,,,,
Rbm14,1.10,0.12,,1.27,0.00,,,,,
Rbm17,1.00,0.98,,-1.00,0.95,,,,,
Rbm18,1.16,0.07,,1.36,0.00,,,,,
Rbm22,1.18,0.01,,1.09,0.11,,,,,
Rbm3,1.13,0.21,,-1.20,0.09,,,,,
Rbm34,1.47,0.00,,1.72,0.00,,,,,
Rbm4,-1.00,1.00,,1.09,0.10,,,,,
Rbm42,-1.08,0.14,,-1.19,0.00,,,,,
Rbm45,1.21,0.01,,1.11,0.08,,,,,
Rbm4b,1.00,0.96,,1.23,0.02,,,,,
Rbm5,1.28,0.01,,1.42,0.00,,,,,
Rbm7,1.03,0.64,,1.19,0.01,,,,,
Rbm8a,-1.03,0.59,,-1.05,0.32,,,,,
Rbmx,1.30,0.00,,1.26,0.00,,,,,
Rbmxrtl,-1.03,0.59,,1.07,0.15,,,,,
Rbp4,1.27,0.77,,-1.05,0.89,,,,,
Rbsn,1.49,0.00,,1.71,0.00,,,,,
Rbx1,-1.04,0.54,,-1.07,0.31,,,,,
Rcan1,1.03,0.46,,1.07,0.14,,,,,
Rce1,1.01,0.84,,-1.08,0.07,,,,,
Rchy1,1.02,0.68,,1.08,0.23,,,,,
Rcn1,1.03,0.78,,1.08,0.41,,,,,
Rcn2,-1.01,0.92,,1.24,0.01,,,,,
Rcn3,1.11,0.19,,-1.16,0.05,,,,,
Rcor2,1.15,0.11,,1.10,0.25,,,,,
Rdh11,-1.00,0.98,,1.05,0.47,,,,,
Rdh14,1.07,0.26,,1.08,0.23,,,,,
Rdx,1.34,0.01,,1.50,0.00,,,,,
Reep2,-1.01,0.73,,-1.09,0.05,,,,,
Reep5,1.03,0.60,,1.09,0.09,,,,,
Reep6,1.11,0.24,,1.09,0.31,,,,,
Rela,1.09,0.13,,1.06,0.28,,,,,
Rell2,1.04,0.39,,-1.08,0.15,,,,,
Rem2,1.08,0.48,,1.05,0.72,,,,,
Repin1,1.30,0.02,,1.33,0.01,,,,,
Rer1,1.04,0.44,,1.04,0.45,,,,,
Resp18,-1.22,0.02,,-1.18,0.04,,,,,
Retsat,1.30,0.12,,1.35,0.08,,,,,
Rexo1,1.37,0.00,,1.30,0.01,,,,,
Rexo2,-1.05,0.48,,-1.01,0.97,,,,,
Rexo4,1.06,0.43,,1.21,0.02,,,,,
Rfc5,1.11,0.17,,1.12,0.12,,,,,
Rfk,-1.02,0.85,,1.21,0.03,,,,,
Rfng,1.15,0.03,,1.02,0.62,,,,,
Rfx5,1.34,0.00,,1.48,0.00,,,,,
Rgcc,-1.06,0.28,,-1.07,0.15,,,,,
RGD1302996,-1.07,0.09,,-1.12,0.01,,,,,
RGD1303003,-1.04,0.32,,-1.19,0.00,,,,,
RGD1304567,-1.03,0.47,,-1.01,0.88,,,,,
RGD1304587,-1.07,0.22,,-1.07,0.21,,,,,
RGD1304694,1.34,0.01,,1.23,0.04,,,,,
RGD1304704,1.17,0.06,,1.12,0.17,,,,,
RGD1304884,1.84,0.00,,1.83,0.00,,,,,
RGD1305178,1.13,0.02,,1.06,0.23,,,,,
RGD1305350,1.13,0.02,,1.01,0.80,,,,,
RGD1305455,1.14,0.04,,1.04,0.51,,,,,
RGD1305464,1.23,0.05,,1.18,0.11,,,,,
RGD1305587,-1.25,0.02,,-1.20,0.05,,,,,
RGD1305713,-1.00,0.94,,-1.02,0.70,,,,,
RGD1305733,-1.01,0.85,,-1.00,0.97,,,,,
RGD1305938,1.21,0.14,,1.95,0.00,,,,,
RGD1306215,-1.22,0.00,,-1.37,0.00,,,,,
RGD1306502,1.18,0.03,,1.40,0.00,,,,,
RGD1306941,1.11,0.34,,1.48,0.00,,,,,
RGD1306954,-1.01,0.78,,-1.10,0.08,,,,,
RGD1307100,-1.22,0.09,,-1.04,0.82,,,,,
RGD1307315,-1.06,0.40,,-1.07,0.37,,,,,
RGD1307554,1.05,0.35,,1.08,0.17,,,,,
RGD1307704,-1.00,0.97,,1.04,0.38,,,,,
RGD1307752,-1.02,0.72,,1.08,0.20,,,,,
RGD1307947,1.10,0.34,,1.12,0.24,,,,,
RGD1308134,-1.11,0.07,,-1.26,0.00,,,,,
RGD1308147,1.03,0.71,,1.32,0.01,,,,,
RGD1308430,-1.09,0.08,,-1.00,0.95,,,,,
RGD1309036,-1.47,0.05,,-1.66,0.01,,,,,
RGD1309594,-1.09,0.15,,-1.09,0.15,,,,,
RGD1309676,1.10,0.15,,1.10,0.15,,,,,
RGD1309748,1.04,0.69,,1.56,0.00,,,,,
RGD1309821,1.66,0.01,,1.79,0.00,,,,,
RGD1310127,1.11,0.27,,1.08,0.41,,,,,
RGD1310352,1.03,0.57,,1.07,0.26,,,,,
RGD1310429,1.70,0.00,,2.06,0.00,,,,,
RGD1310553,1.17,0.08,,1.53,0.00,,,,,
RGD1310587,1.21,0.19,,1.06,0.65,,,,,
RGD1310769,-1.06,0.47,,-1.06,0.42,,,,,
RGD1311084,1.15,0.19,,-1.07,0.49,,,,,
RGD1311188,-1.06,0.44,,-1.02,0.76,,,,,
RGD1311345,1.12,0.10,,1.05,0.48,,,,,
RGD1311703,-1.03,0.70,,-1.00,0.99,,,,,
RGD1311739,-1.24,0.03,,-1.21,0.05,,,,,
RGD1311745,-1.04,0.63,,1.21,0.02,,,,,
RGD1311805,1.17,0.05,,1.18,0.03,,,,,
RGD1311899,-1.10,0.03,,-1.08,0.09,,,,,
RGD1311946,1.08,0.24,,1.09,0.22,,,,,
RGD1312005,1.14,0.07,,1.17,0.02,,,,,
RGD1359127,-1.04,0.30,,-1.12,0.01,,,,,
RGD1359290,-1.01,0.95,,-1.31,0.00,,,,,
RGD1359634,1.09,0.22,,-1.04,0.63,,,,,
RGD1559747,1.24,0.01,,1.19,0.03,,,,,
RGD1559786,1.15,0.02,,1.01,0.82,,,,,
RGD1559896,1.13,0.11,,1.05,0.49,,,,,
RGD1559909,-1.16,0.00,,-1.28,0.00,,,,,
RGD1560065,-1.08,0.19,,1.03,0.63,,,,,
RGD1560108,1.12,0.10,,1.24,0.01,,,,,
RGD1560212,-1.02,0.69,,-1.13,0.01,,,,,
RGD1560394,-1.35,0.00,,-1.69,0.00,,,,,
RGD1560854,1.04,0.64,,1.12,0.15,,,,,
RGD1561149,1.13,0.38,,1.24,0.16,,,,,
RGD1561157,1.20,0.11,,-1.01,0.82,,,,,
RGD1561849,1.12,0.16,,1.38,0.00,,,,,
RGD1561931,1.45,0.01,,2.45,0.00,,,,,
RGD1562114,-1.10,0.19,,-1.25,0.01,,,,,
RGD1562136,1.07,0.48,,1.45,0.00,,,,,
RGD1562218,1.28,0.01,,1.31,0.00,,,,,
RGD1562618,1.13,0.04,,1.01,0.88,,,,,
RGD1562747,1.09,0.19,,1.00,0.96,,,,,
RGD1562987,-1.04,0.57,,-1.13,0.07,,,,,
RGD1563049,-1.03,0.69,,1.14,0.26,,,,,
RGD1563441,-1.13,0.09,,-1.09,0.21,,,,,
RGD1563941,-1.38,0.01,,-1.71,0.00,,,,,
RGD1564093,-1.08,0.10,,-1.23,0.00,,,,,
RGD1564379,1.13,0.09,,1.06,0.38,,,,,
RGD1564450,-1.30,0.01,,-1.41,0.00,,,,,
RGD1564664,-1.01,0.78,,-1.12,0.14,,,,,
RGD1564804,-1.08,0.19,,-1.14,0.03,,,,,
RGD1565002,1.09,0.13,,-1.03,0.51,,,,,
RGD1565033,-1.12,0.25,,-1.02,0.78,,,,,
RGD1565641,1.17,0.17,,1.20,0.13,,,,,
RGD1565784,1.03,0.62,,1.05,0.30,,,,,
RGD1565844,-1.03,0.77,,-1.09,0.60,,,,,
RGD1566099,-1.17,0.03,,-1.41,0.00,,,,,
RGD1566239,-1.13,0.17,,-1.65,0.00,,,,,
RGD1566320,-1.20,0.01,,-1.08,0.19,,,,,
RGD1566401,1.63,0.00,,1.41,0.00,,,,,
RGD1597339,-1.02,0.69,,-1.05,0.53,,,,,
RGD735029,1.12,0.02,,1.06,0.17,,,,,
RGD735065,1.11,0.08,,1.05,0.35,,,,,
Rgl2,1.27,0.01,,1.15,0.07,,,,,
Rgma,1.13,0.12,,1.09,0.27,,,,,
Rgs10,-1.12,0.33,,-1.16,0.20,,,,,
Rgs14,1.09,0.20,,1.11,0.12,,,,,
Rgs19,-1.07,0.21,,-1.05,0.39,,,,,
Rgs2,1.06,0.47,,1.22,0.03,,,,,
Rgs4,-1.18,0.31,,1.44,0.07,,,,,
Rgs8,1.64,0.00,,1.73,0.00,,,,,
Rhbdd2,1.07,0.31,,1.15,0.06,,,,,
Rhbdd3,1.01,0.82,,-1.12,0.03,,,,,
Rhbdf1,1.31,0.01,,1.18,0.08,,,,,
Rhbdl1,-1.15,0.09,,-1.27,0.01,,,,,
Rheb,-1.03,0.78,,1.06,0.49,,,,,
Rhno1,-1.13,0.08,,-1.07,0.31,,,,,
Rhoa,1.19,0.00,,1.07,0.18,,,,,
Rhob,1.09,0.14,,1.04,0.44,,,,,
Rhobtb2,1.41,0.00,,1.54,0.00,,,,,
Rhoc,-1.10,0.22,,-1.21,0.02,,,,,
Rhog,1.09,0.39,,-1.19,0.06,,,,,
Rhot2,1.07,0.25,,1.04,0.42,,,,,
Rhov,-1.08,0.19,,-1.11,0.12,,,,,
Rhpn1,1.29,0.12,,1.01,0.92,,,,,
Ric8a,1.09,0.07,,1.08,0.11,,,,,
