Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle)
Slc25a3,-1.03,0.42,1.02,0.71
Slc25a33,1.02,0.71,1.03,0.63
Slc25a34,1.04,0.66,1.08,0.45
Slc25a38,-1.08,0.3,-1.04,0.61
Slc25a39,1.04,0.37,-1.1,0.06
Slc25a4,-1.09,0.05,-1.09,0.05
Slc25a42,1.04,0.49,1.12,0.08
Slc25a44,1.19,0.01,1.3,0.0
Slc25a46,1.07,0.48,1.63,0.0
Slc25a5,1.01,0.82,1.14,0.01
Slc27a1,1.11,0.17,1.07,0.32
Slc27a3,1.1,0.17,1.01,0.84
Slc27a4,1.04,0.44,1.03,0.52
Slc29a4,1.01,0.88,-1.27,0.06
Slc2a1,1.29,0.0,1.11,0.08
Slc2a6,-1.02,0.77,-1.07,0.31
Slc2a8,-1.03,0.58,-1.07,0.28
Slc30a1,1.42,0.0,1.62,0.0
Slc30a10,1.97,0.0,2.08,0.0
Slc30a3,-1.01,0.97,-1.03,0.81
Slc30a4,1.32,0.02,1.84,0.0
Slc30a9,1.43,0.0,1.69,0.0
Slc32a1,1.09,0.3,1.01,0.82
Slc35a2,1.04,0.52,1.06,0.35
Slc35a4,1.09,0.24,1.06,0.41
Slc35b1,-1.0,0.95,-1.04,0.29
Slc35b2,1.01,0.9,-1.07,0.19
Slc35b4,1.29,0.0,1.34,0.0
Slc35c1,1.12,0.05,1.2,0.01
Slc35c2,1.09,0.06,-1.03,0.47
Slc35d3,1.31,0.03,1.03,0.66
Slc35e1,1.23,0.01,1.35,0.0
Slc35e3,1.22,0.03,1.27,0.01
Slc35e4,1.07,0.32,1.09,0.23
Slc35f6,1.16,0.01,1.12,0.04
Slc37a4,1.1,0.24,1.12,0.14
Slc38a2,1.15,0.17,1.52,0.0
Slc38a3,1.14,0.19,-1.07,0.71
Slc39a1,1.13,0.09,1.09,0.21
Slc39a10,1.31,0.02,1.71,0.0
Slc39a13,1.15,0.03,1.01,0.8
Slc39a3,1.12,0.22,-1.06,0.4
Slc39a5,-1.21,0.01,-1.19,0.01
Slc39a6,1.16,0.07,1.48,0.0
Slc39a7,1.09,0.05,-1.01,0.86
Slc3a1,1.07,0.38,1.19,0.04
Slc3a2,1.08,0.18,1.05,0.43
Slc41a1,1.37,0.01,1.35,0.01
Slc43a2,1.47,0.0,1.52,0.0
Slc44a2,1.18,0.02,1.15,0.04
Slc45a1,1.03,0.64,1.01,0.83
Slc46a1,1.13,0.15,1.11,0.2
Slc48a1,1.09,0.1,-1.03,0.63
Slc4a1ap,1.24,0.01,1.28,0.0
Slc4a2,1.05,0.48,-1.82,0.37
Slc4a3,1.16,0.1,1.29,0.01
Slc50a1,1.29,0.03,1.1,0.32
Slc52a2,1.18,0.09,1.05,0.52
Slc5a6,1.11,0.27,1.07,0.4
Slc6a1,1.25,0.0,1.35,0.0
Slc6a15,1.25,0.02,1.54,0.0
Slc6a17,1.3,0.01,1.46,0.0
Slc6a7,1.09,0.3,1.22,0.04
Slc6a8,1.28,0.0,1.19,0.02
Slc6a9,1.09,0.34,-1.03,0.9
Slc7a10,1.08,0.32,1.0,0.86
Slc7a3,-1.12,0.54,1.1,0.55
Slc7a4,1.07,0.19,1.05,0.3
Slc7a5,1.05,0.46,1.09,0.19
Slc7a6,1.32,0.01,1.57,0.0
Slc7a6os,1.0,0.99,1.04,0.47
Slc7a8,1.12,0.22,1.27,0.02
Slc8a2,1.42,0.01,1.53,0.0
Slc9a1,1.29,0.03,1.26,0.04
Slc9a3r1,1.1,0.23,-1.03,0.86
Slc9a3r2,1.03,0.56,-1.1,0.08
Slc9a5,1.18,0.2,1.39,0.01
Slco1c1,1.16,0.09,1.22,0.03
Slirp,1.06,0.4,1.06,0.36
Slitrk1,1.21,0.01,1.43,0.0
Slitrk2,1.5,0.01,2.09,0.0
Slitrk3,1.43,0.01,1.81,0.0
Slitrk4,1.57,0.0,2.46,0.0
Slitrk5,1.3,0.01,1.51,0.0
Slu7,1.24,0.03,1.45,0.0
Slx1b,1.16,0.01,1.09,0.12
Smap2,1.07,0.15,1.11,0.04
Smarca4,1.33,0.01,1.4,0.0
Smarcb1,-1.0,1.0,-1.06,0.18
Smarcd1,1.14,0.02,1.13,0.03
Smarcd2,1.32,0.0,1.3,0.01
Smarce1,1.13,0.04,1.17,0.01
Smc1a,1.21,0.03,1.39,0.0
Smcr8,2.77,0.0,3.33,0.0
Smg7,1.26,0.01,1.47,0.0
Smim12,-1.23,0.0,-1.24,0.0
Smim13,1.16,0.05,1.52,0.0
Smim14,1.09,0.21,1.09,0.19
Smim15,1.22,0.09,1.38,0.01
Smim20,-1.05,0.39,-1.25,0.0
Smim7,-1.04,0.28,-1.02,0.55
Smn1,1.05,0.44,1.05,0.39
Smndc1,1.04,0.73,1.29,0.03
Smox,1.1,0.15,1.03,0.64
Smpd1,1.11,0.06,1.03,0.49
Smpd2,1.03,0.7,-1.03,0.69
Smpd3,1.33,0.01,1.33,0.01
Smpd5,1.03,0.71,-1.0,0.95
Smpdl3b,1.14,0.09,1.16,0.07
Smu1,1.17,0.04,1.28,0.0
Smyd2,1.02,0.74,-1.05,0.32
Smyd5,1.18,0.03,1.11,0.13
Snap25,1.15,0.14,1.71,0.0
Snap29,1.2,0.02,1.34,0.0
Snap47,-1.02,0.72,-1.05,0.4
Snap91,1.29,0.02,1.5,0.0
Snapc2,1.04,0.41,-1.08,0.12
Snapc5,1.25,0.01,1.39,0.0
Snapin,1.03,0.66,1.21,0.01
Snca,-1.11,0.06,-1.01,0.89
Sncb,-1.15,0.03,-1.21,0.01
Snf8,-1.02,0.65,-1.12,0.05
Snhg11,1.82,0.0,1.8,0.0
Snip1,1.04,0.49,1.2,0.01
Snn,1.21,0.01,1.21,0.01
Snph,1.33,0.01,1.23,0.03
Snrnp200,1.3,0.01,1.54,0.0
Snrnp27,-1.13,0.07,-1.22,0.01
Snrnp35,-1.04,0.46,-1.1,0.09
Snrnp70,2.3,0.0,1.99,0.0
Snrpa,1.01,0.89,-1.14,0.04
Snrpb,-1.05,0.31,-1.05,0.28
Snrpb2,-1.08,0.54,1.1,0.38
Snrpd1,1.21,0.01,1.19,0.02
Snrpd2,-1.18,0.02,-1.3,0.0
Snrpf,1.03,0.72,-1.07,0.33
Snta1,1.03,0.51,-1.06,0.26
Snurf,1.09,0.06,1.11,0.03
Snw1,1.14,0.04,1.1,0.14
Snx10,1.29,0.02,1.51,0.0
Snx11,1.1,0.09,1.08,0.17
Snx15,1.09,0.14,-1.05,0.39
Snx17,-1.07,0.1,-1.1,0.03
Snx19,1.25,0.02,1.35,0.0
Snx27,1.28,0.01,1.55,0.0
Snx3,-1.0,0.9,-1.01,0.74
Snx33,1.24,0.08,1.1,0.33
Snx5,1.31,0.0,1.36,0.0
Socs1,1.09,0.47,-1.15,0.38
Socs2,1.26,0.1,1.4,0.02
Socs5,1.17,0.03,1.37,0.0
Sod1,-1.16,0.02,-1.24,0.0
Sod2,1.23,0.01,1.41,0.0
Sod3,1.06,0.56,-1.42,0.11
Soga3,1.19,0.1,1.54,0.0
Son,1.74,0.0,2.22,0.0
Sorl1,1.24,0.05,1.52,0.0
Sort1,1.42,0.0,1.5,0.0
Sowahc,1.21,0.06,1.22,0.06
Sox10,1.09,0.28,-1.09,0.35
Sox11,1.18,0.18,1.27,0.08
Sox12,1.38,0.02,1.16,0.21
Sox18,-1.15,0.18,-1.16,0.18
Sox2,-1.03,0.61,1.06,0.42
Sox4,1.09,0.38,1.41,0.01
Sox8,1.15,0.04,1.01,0.85
Sox9,-1.14,0.21,1.1,0.41
Spag7,-1.02,0.66,-1.05,0.29
Spag8,1.23,0.21,-1.34,0.74
Spag9,1.43,0.0,1.69,0.0
Sparc,1.02,0.89,1.01,0.86
Sparcl1,1.18,0.01,1.23,0.0
Spata2,1.36,0.01,1.55,0.0
Spata25,1.05,0.7,-1.05,0.68
Spata2L,1.11,0.12,1.12,0.09
Spcs1,-1.04,0.65,1.17,0.04
Spcs2,1.02,0.74,1.15,0.02
Spcs3,1.61,0.0,1.76,0.0
Spef1,-1.05,0.58,-1.23,0.03
Speg,1.21,0.02,1.21,0.02
Spg20,1.2,0.04,1.17,0.08
Spg21,1.16,0.06,1.03,0.67
Spg7,1.32,0.01,1.28,0.01
Sphk2,1.11,0.11,1.04,0.5
Spint2,-1.27,0.14,-1.67,0.0
Spns1,1.13,0.01,1.01,0.72
Spns2,1.19,0.03,1.16,0.05
Spock2,1.94,0.0,1.98,0.0
Spop,1.15,0.04,1.15,0.05
Sppl2b,1.19,0.02,1.04,0.55
Spr,-1.11,0.06,-1.26,0.0
Sprn,1.62,0.0,1.32,0.04
Sprtn,1.72,0.0,1.63,0.0
Spry2,-1.07,0.26,1.18,0.01
Spry3,1.44,0.03,1.74,0.0
Spryd3,1.06,0.23,1.01,0.75
Spryd4,1.01,0.76,1.09,0.06
Spsb2,-1.03,0.69,-1.18,0.14
Spsb3,1.03,0.57,-1.04,0.39
Sptan1,1.3,0.01,1.51,0.0
Sptbn1,1.7,0.0,1.98,0.0
Sptbn2,1.69,0.0,1.78,0.0
Sptbn4,1.42,0.0,1.38,0.01
Sptssa,-1.01,0.95,1.07,0.45
Sqle,1.14,0.11,1.27,0.01
Sqstm1,-1.05,0.13,-1.08,0.03
Sra1,1.03,0.53,-1.01,0.76
Src,1.47,0.0,1.41,0.0
Srcin1,1.98,0.0,2.01,0.0
Srebf1,1.27,0.03,1.07,0.4
Srebf2,1.12,0.11,1.22,0.01
Srek1ip1,-1.01,0.92,1.17,0.04
Srf,1.15,0.03,1.24,0.0
Sri,1.26,0.01,1.26,0.01
Srm,-1.13,0.01,-1.19,0.0
Srp14,-1.08,0.18,1.03,0.62
Srp19,-1.11,0.17,1.03,0.71
Srp68,1.07,0.19,1.04,0.41
Srp9,-1.03,0.63,-1.04,0.5
Srpk2,1.34,0.0,1.46,0.0
Srpra,1.25,0.0,1.25,0.0
Srprb,1.14,0.03,1.02,0.66
Srr,1.2,0.02,1.3,0.0
Srrd,-1.04,0.6,-1.14,0.06
Srrm1,1.43,0.0,1.42,0.0
Srrm2,1.87,0.0,2.08,0.0
Srsf1,1.14,0.16,1.4,0.0
Srsf10,1.3,0.02,1.5,0.0
Srsf11,1.23,0.01,1.27,0.0
Srsf2,1.13,0.06,1.11,0.1
Srsf3,1.01,0.84,1.24,0.01
Srsf4,1.09,0.16,1.12,0.07
Srsf5,1.32,0.0,1.11,0.03
Srsf6,1.28,0.0,1.4,0.0
Srsf7,1.2,0.02,1.26,0.01
Srsf9,1.04,0.53,1.02,0.76
Srxn1,1.27,0.01,1.24,0.01
Ssb,1.12,0.23,1.44,0.0
Ssbp4,1.01,0.92,-1.2,0.01
Ssh3,1.2,0.06,1.18,0.07
Ssna1,-1.08,0.11,-1.19,0.0
Ssr1,1.31,0.02,1.7,0.0
Ssr2,-1.11,0.03,-1.17,0.0
Ssr3,1.1,0.33,1.38,0.01
Ssr4,-1.09,0.17,-1.24,0.0
Ssrp1,1.14,0.04,1.2,0.01
Sssca1,1.06,0.37,-1.11,0.08
Sst,-1.28,0.0,-1.36,0.0
Sstr1,-1.15,0.27,1.42,0.02
Sstr2,-1.17,0.14,1.28,0.03
Sstr3,1.14,0.12,1.14,0.12
Sstr4,1.48,0.01,1.77,0.0
Ssu72,-1.06,0.29,-1.12,0.06
Ssx2ip,1.35,0.01,1.41,0.0
St3gal2,1.2,0.01,1.23,0.0
St3gal5,1.1,0.06,1.12,0.03
St6galnac6,-1.01,0.85,-1.05,0.32
St8sia3,2.34,0.0,3.14,0.0
Stac2,1.01,0.86,1.06,0.56
Stam,1.16,0.07,1.41,0.0
Stard3,1.06,0.23,-1.03,0.63
Stard3nl,1.02,0.64,1.04,0.47
Stard7,1.4,0.0,1.36,0.01
Stat2,1.18,0.03,1.27,0.01
Stau1,1.19,0.04,1.26,0.01
Stip1,1.02,0.63,1.12,0.05
Stk11,-1.15,0.01,-1.23,0.0
Stk11ip,1.47,0.0,1.48,0.0
Stk16,-1.03,0.54,-1.02,0.68
Stk25,1.11,0.03,1.08,0.11
Stk38,1.11,0.13,1.11,0.12
Stmn1,-1.2,0.08,-1.11,0.24
Stmn2,1.0,0.89,1.05,0.3
Stmn3,-1.16,0.0,-1.24,0.0
Stmn4,-1.08,0.11,-1.1,0.06
Stoml1,-1.05,0.36,-1.08,0.14
Stoml2,-1.08,0.15,-1.1,0.1
Stradb,1.21,0.03,1.42,0.0
Strap,1.08,0.13,1.21,0.0
Strn4,1.16,0.02,1.14,0.03
Sts,1.22,0.02,1.16,0.06
Stub1,-1.09,0.08,-1.19,0.0
Stx12,1.05,0.43,1.17,0.02
Stx16,1.44,0.0,1.57,0.0
Stx1a,-1.09,0.18,-1.1,0.14
Stx1b,1.67,0.0,1.83,0.0
Stx4,1.11,0.08,-1.04,0.56
Stx5,1.06,0.24,-1.03,0.5
Stx6,1.3,0.0,1.28,0.0
Stx7,1.18,0.07,1.38,0.0
Stxbp1,1.17,0.02,1.23,0.0
Sub1,1.03,0.63,1.2,0.04
Sucla2,1.22,0.05,1.48,0.0
Suclg1,-1.02,0.7,-1.05,0.37
Sugp1,1.25,0.0,1.09,0.13
Sugp2,1.4,0.0,1.51,0.0
Sulf2,1.36,0.02,1.26,0.05
Sult1a1,1.31,0.2,1.1,0.61
Sult4a1,-1.07,0.07,-1.04,0.29
Sumo1,1.04,0.66,1.31,0.01
Sumo2,-1.09,0.42,1.1,0.3
Sumo3,-1.0,0.99,1.03,0.69
Suox,1.02,0.63,1.09,0.1
Supt16h,1.31,0.01,1.56,0.0
Supt4h1,-1.13,0.04,-1.13,0.03
Supt5h,1.21,0.0,1.16,0.01
Supt6h,1.37,0.0,1.52,0.0
Supt7l,1.15,0.06,1.21,0.02
Supv3l1,1.21,0.01,1.24,0.0
Surf4,1.08,0.18,1.11,0.06
Surf6,-1.09,0.09,1.04,0.44
Susd2,1.12,0.3,1.22,0.06
Suv39h1,1.17,0.04,1.25,0.01
Sv2a,1.12,0.05,1.26,0.0
Sv2b,1.28,0.03,1.71,0.0
Svbp,-1.11,0.11,-1.22,0.01
Svip,1.21,0.03,1.18,0.04
Svop,1.21,0.03,1.15,0.09
Swi5,-1.14,0.03,-1.26,0.0
Swsap1,1.07,0.14,1.09,0.08
Syf2,-1.01,0.81,-1.1,0.08
Sympk,1.16,0.02,1.2,0.01
Syn1,1.07,0.31,1.09,0.17
Syn2,1.33,0.01,1.34,0.01
Synb,1.13,0.37,1.52,0.01
Syngap1,1.33,0.0,1.4,0.0
Syngr1,1.85,0.0,2.12,0.0
Syngr2,1.06,0.43,-1.16,0.25
Syngr3,-1.02,0.66,1.01,0.74
Synj1,1.54,0.01,1.98,0.0
Synj2bp,1.26,0.03,1.68,0.0
Synm,1.39,0.0,1.53,0.0
Synpo,1.62,0.0,1.77,0.0
Syp,-1.01,0.75,-1.04,0.45
Syt11,1.75,0.0,1.94,0.0
Syt13,1.43,0.0,1.55,0.0
Syt17,1.08,0.27,1.28,0.0
Syt3,1.12,0.06,1.02,0.69
Syt4,1.09,0.34,1.52,0.0
Syt5,-1.23,0.01,-1.17,0.03
Syvn1,1.11,0.03,1.04,0.34
Szrd1,1.11,0.12,1.05,0.42
Tab1,1.13,0.07,1.04,0.52
Tac3,1.12,0.22,-1.3,0.01
Tacc1,1.25,0.01,1.61,0.0
Tada2b,1.21,0.02,1.36,0.0
Tada3,1.03,0.57,1.04,0.49
Taf10,-1.08,0.19,-1.28,0.0
Taf11,-1.02,0.65,-1.02,0.66
Taf13,1.14,0.19,1.4,0.0
Taf1c,1.17,0.06,1.1,0.24
Taf6,1.16,0.05,1.06,0.41
Taf7,1.02,0.81,1.18,0.13
Taf8,1.12,0.08,1.1,0.13
Taf9,1.06,0.3,1.28,0.0
Taf9b,1.14,0.27,1.72,0.0
Tagln,1.4,0.13,-1.01,0.99
Tagln2,1.24,0.19,1.02,0.88
Taldo1,-1.03,0.48,-1.16,0.0
Tango2,1.01,0.82,-1.04,0.43
Taok2,1.5,0.0,1.47,0.0
Tapbp,1.06,0.46,-1.04,0.58
Tarbp2,1.04,0.49,-1.11,0.08
Tardbp,1.35,0.0,1.54,0.0
Tars,1.13,0.08,1.19,0.02
Tars2,1.1,0.09,1.05,0.34
Tatdn2,1.14,0.1,1.2,0.03
Tax1bp1,1.22,0.03,1.41,0.0
Tax1bp3,-1.03,0.79,-1.3,0.02
Taz,1.17,0.01,1.11,0.05
Tbc1d10b,1.13,0.06,1.07,0.26
Tbc1d14,1.22,0.02,1.38,0.0
Tbc1d17,1.15,0.01,1.02,0.68
Tbc1d24,1.85,0.0,2.08,0.0
Tbc1d9b,1.36,0.0,1.24,0.03
Tbcc,-1.06,0.36,-1.27,0.0
Tbk1,1.19,0.04,1.38,0.0
Tbkbp1,1.32,0.0,1.13,0.11
Tbl3,1.02,0.59,1.0,0.98
Tbpl1,1.09,0.32,1.28,0.01
Tbr1,-1.02,0.98,1.51,0.01
Tbrg1,1.1,0.07,-1.07,0.19
Tbrg4,1.29,0.0,1.1,0.1
Tcap,-1.1,0.72,-1.24,0.24
Tcea2,-1.03,0.52,-1.09,0.09
Tceal1,-1.1,0.18,1.1,0.16
Tceal5,-1.12,0.06,-1.08,0.18
Tceal8,-1.13,0.1,-1.07,0.34
Tceal9,-1.1,0.31,1.04,0.74
Tcerg1,1.33,0.01,1.69,0.0
Tchp,1.12,0.08,1.02,0.68
Tcirg1,1.27,0.02,1.1,0.3
Tcn2,1.05,0.6,-1.24,0.13
Tcp1,1.13,0.09,1.32,0.0
Tcta,-1.03,0.54,-1.05,0.36
Tcte1,-1.36,0.0,-1.28,0.01
Tctex1d2,-1.01,0.82,1.09,0.36
Tdg,1.2,0.01,1.2,0.01
Tdp2,1.05,0.67,1.66,0.0
Tdrkh,1.32,0.0,1.37,0.0
Tecpr1,1.59,0.0,1.47,0.0
Tecr,-1.08,0.13,-1.26,0.0
Tef,1.21,0.01,1.31,0.0
Tefm,1.11,0.24,1.09,0.34
Tepsin,1.19,0.05,1.11,0.18
Terf2ip,1.04,0.47,1.14,0.04
Tesk1,1.04,0.41,-1.02,0.77
Tex261,1.09,0.14,1.03,0.51
Tex264,-1.08,0.14,-1.19,0.0
Tf,1.05,0.49,-1.43,0.21
Tfam,1.07,0.36,1.23,0.01
Tfe3,1.13,0.06,1.09,0.16
Tfeb,1.09,0.21,-1.16,0.06
Tfg,-1.03,0.64,1.18,0.03
Tfip11,1.2,0.04,1.24,0.02
Tfpt,-1.14,0.1,-1.32,0.0
Tfrc,1.28,0.04,1.9,0.0
Tgfb1i1,1.06,0.4,-1.0,0.98
Tgfb3,1.12,0.17,1.2,0.04
Tgoln2,1.31,0.01,1.56,0.0
Thap1,1.14,0.22,1.19,0.1
Thap11,-1.04,0.32,1.03,0.49
Thap3,-1.13,0.03,-1.24,0.0
Thap7,-1.1,0.1,-1.18,0.01
Thbd,1.63,0.1,1.54,0.09
Them6,-1.04,0.56,-1.12,0.07
Thnsl1,1.22,0.04,1.55,0.0
Thoc3,1.05,0.28,1.02,0.69
Thoc5,1.05,0.41,1.03,0.59
Thoc6,-1.01,0.82,-1.11,0.08
Thoc7,-1.1,0.21,-1.04,0.57
Thop1,1.14,0.07,1.07,0.29
Thra,1.02,0.58,1.02,0.59
Thrap3,1.43,0.0,1.46,0.0
Thrsp,1.03,0.69,-1.06,0.44
Thtpa,1.04,0.47,1.03,0.58
Thy1,1.05,0.3,-1.0,0.94
Thyn1,-1.03,0.57,-1.1,0.12
Tial1,1.34,0.0,1.51,0.0
Tifa,1.2,0.02,1.23,0.01
Tifab,1.03,0.72,-1.18,0.25
Tigar,1.24,0.03,1.24,0.02
Tigd5,1.4,0.0,1.2,0.04
Timm10,-1.17,0.0,-1.27,0.0
Timm10b,-1.08,0.16,-1.09,0.15
Timm13,-1.24,0.0,-1.41,0.0
Timm17a,-1.09,0.07,-1.06,0.18
Timm21,-1.03,0.67,1.13,0.05
Timm22,-1.02,0.7,-1.11,0.07
Timm23,-1.14,0.04,-1.1,0.12
Timm29,1.03,0.4,1.11,0.02
Timm44,1.18,0.02,1.08,0.23
Timm8a1,1.16,0.08,1.38,0.0
Timm8b,-1.16,0.01,-1.19,0.0
Timm9,-1.04,0.61,-1.03,0.79
Timp2,1.14,0.22,1.28,0.03
Timp4,-1.02,0.91,-1.08,0.46
Tincr,1.62,0.0,1.65,0.0
Tinf2,1.07,0.55,1.1,0.36
Tiprl,-1.01,0.91,1.25,0.04
Tjap1,1.46,0.0,1.13,0.2
Tjp1,1.59,0.0,1.98,0.0
Tk2,1.11,0.07,1.14,0.03
Tkt,1.11,0.04,1.03,0.49
Tlcd1,1.04,0.64,1.03,0.7
Tln1,1.39,0.01,1.39,0.01
Tm2d2,-1.03,0.37,-1.06,0.15
Tm7sf2,-1.08,0.27,-1.12,0.09
Tm7sf3,1.09,0.14,1.06,0.31
Tm9sf1,1.06,0.4,1.19,0.03
Tm9sf2,1.08,0.35,1.45,0.0
Tmbim1,1.11,0.15,1.06,0.38
Tmbim4,1.18,0.08,1.21,0.04
Tmbim6,1.28,0.01,1.19,0.03
Tmcc2,1.15,0.05,1.04,0.49
Tmco6,1.01,0.84,-1.03,0.56
Tmed1,-1.05,0.41,-1.28,0.0
Tmed10,1.23,0.02,1.25,0.01
Tmed2,1.03,0.64,1.15,0.05
Tmed3,-1.12,0.11,-1.13,0.1
Tmed4,1.09,0.17,1.16,0.04
Tmed7,1.2,0.15,1.75,0.0
Tmed9,-1.04,0.24,-1.05,0.19
Tmem100,1.07,0.43,1.13,0.17
Tmem101,-1.01,0.8,-1.01,0.79
Tmem106b,1.31,0.01,1.6,0.0
Tmem106c,1.09,0.17,-1.04,0.51
Tmem107,1.02,0.75,-1.18,0.06
Tmem109,-1.07,0.32,-1.02,0.79
Tmem11,-1.16,0.02,-1.14,0.03
Tmem115,-1.02,0.61,-1.11,0.02
Tmem119,1.01,0.78,-1.21,0.13
Tmem120a,1.04,0.49,-1.07,0.37
Tmem125,1.32,0.02,-1.17,0.17
Tmem126b,1.03,0.71,1.22,0.03
Tmem127,1.31,0.0,1.38,0.0
Tmem128,-1.02,0.78,1.12,0.19
Tmem129,-1.0,0.99,1.11,0.1
Tmem130,-1.0,0.92,1.1,0.12
Tmem132a,-1.04,0.47,1.08,0.23
Tmem134,-1.06,0.39,-1.34,0.0
Tmem141,-1.07,0.22,-1.26,0.0
Tmem147,-1.19,0.01,-1.3,0.0
Tmem14a,-1.01,0.92,-1.13,0.14
Tmem14c,-1.08,0.16,-1.13,0.03
Tmem150a,1.13,0.31,1.06,0.54
Tmem150b,-1.29,0.04,-1.64,0.0
Tmem150c,1.04,0.45,1.16,0.03
Tmem151a,1.02,0.77,-1.11,0.11
Tmem151b,1.57,0.0,1.62,0.0
Tmem158,-1.02,0.86,-1.22,0.07
Tmem160,-1.22,0.01,-1.55,0.0
Tmem161a,1.01,0.79,-1.0,0.99
Tmem167b,1.58,0.0,1.44,0.0
Tmem17,-1.03,0.6,-1.03,0.71
Tmem175,1.11,0.07,1.06,0.28
Tmem176a,-1.12,0.16,-1.3,0.0
Tmem176b,-1.13,0.05,-1.19,0.01
Tmem177,1.06,0.27,1.05,0.37
Tmem178a,-1.01,0.85,1.16,0.07
Tmem179,1.02,0.64,1.04,0.47
Tmem179b,-1.05,0.6,-1.3,0.01
Tmem18,1.51,0.0,1.69,0.0
Tmem183a,1.03,0.47,1.08,0.11
Tmem184b,1.07,0.34,1.05,0.5
Tmem184c,1.24,0.01,1.33,0.0
Tmem185b,-1.11,0.1,1.12,0.1
Tmem186,1.11,0.12,1.14,0.06
Tmem189,1.06,0.24,-1.03,0.52
Tmem198b,1.34,0.02,1.1,0.34
Tmem199,-1.09,0.05,-1.01,0.75
Tmem200c,1.21,0.09,1.06,0.48
Tmem203,-1.05,0.39,-1.22,0.0
Tmem205,-1.14,0.02,-1.2,0.0
Tmem208,-1.27,0.0,-1.18,0.01
Tmem214,1.2,0.01,1.11,0.1
Tmem216,-1.01,0.86,-1.05,0.46
Tmem222,-1.08,0.12,-1.16,0.01
Tmem223,-1.2,0.01,-1.36,0.0
Tmem229a,1.34,0.01,1.66,0.0
Tmem230,1.03,0.63,1.21,0.01
Tmem246,-1.06,0.14,-1.05,0.21
Tmem248,1.07,0.33,-1.02,0.77
Tmem25,1.13,0.04,1.11,0.08
Tmem256,-1.07,0.32,-1.3,0.0
Tmem259,1.02,0.67,-1.1,0.09
Tmem261,1.03,0.49,1.05,0.27
Tmem30a,1.39,0.01,2.25,0.0
Tmem33,1.25,0.12,1.83,0.0
Tmem35,1.05,0.51,1.29,0.0
Tmem38a,1.09,0.23,1.05,0.41
Tmem41a,-1.1,0.04,-1.06,0.15
Tmem41b,1.08,0.43,1.18,0.12
Tmem42,-1.08,0.09,-1.02,0.62
Tmem43,1.1,0.24,1.3,0.0
Tmem47,1.14,0.35,1.69,0.0
Tmem5,1.04,0.53,1.04,0.52
Tmem50a,-1.07,0.17,-1.1,0.07
Tmem50b,1.05,0.44,1.09,0.14
Tmem55a,1.05,0.6,1.46,0.0
Tmem55b,-1.08,0.07,-1.07,0.08
Tmem59,-1.05,0.42,-1.04,0.46
Tmem59l,-1.01,0.82,-1.05,0.3
Tmem60,-1.02,0.88,1.22,0.04
Tmem69,1.02,0.79,1.27,0.01
Tmem70,-1.01,0.88,1.12,0.16
Tmem80,1.05,0.31,1.03,0.46
Tmem86a,-1.03,0.71,-1.16,0.06
Tmem88,-1.03,0.83,-1.24,0.04
Tmem88b,1.58,0.02,1.28,0.11
Tmem8a,1.36,0.0,1.15,0.07
Tmem9,-1.09,0.08,-1.16,0.01
Tmem97,1.0,0.9,1.04,0.59
Tmem9b,1.14,0.05,1.18,0.02
Tmf1,1.72,0.0,2.01,0.0
Tmsb10,-1.5,0.0,-1.44,0.01
Tmsb4x,-1.03,0.57,-1.08,0.23
Tmsbl1,-1.23,0.3,1.27,0.38
Tmub1,1.04,0.41,-1.1,0.03
Tmub2,1.05,0.2,1.01,0.75
Tmx1,1.17,0.1,1.52,0.0
Tmx2,1.2,0.01,1.25,0.0
Tmx4,1.15,0.18,1.64,0.0
Tnfaip1,1.32,0.0,1.43,0.0
Tnfrsf12a,1.0,0.94,-1.29,0.01
Tnfrsf21,1.23,0.02,1.33,0.0
Tnfrsf25,1.04,0.69,1.25,0.13
Tnfsf13,1.06,0.37,1.03,0.7
Tnk2,1.25,0.01,1.14,0.1
Tnks2,1.22,0.05,1.69,0.0
Tnpo2,1.32,0.0,1.39,0.0
Tnxa-ps1,-1.03,0.96,-1.42,0.1
Tob1,-1.12,0.12,1.24,0.01
Tob2,1.59,0.0,1.58,0.0
Tollip,1.15,0.02,1.26,0.0
Tom1,1.08,0.22,-1.01,0.87
Tomm20,-1.05,0.45,1.06,0.34
Tomm22,-1.01,0.94,1.02,0.74
Tomm34,1.05,0.33,1.08,0.15
Tomm40,1.04,0.41,-1.05,0.46
Tomm40l,1.34,0.01,1.31,0.01
Tomm7,-1.1,0.16,-1.27,0.0
Tomm70,1.54,0.0,1.97,0.0
Topors,1.04,0.62,1.38,0.01
Tor1a,1.08,0.08,-1.01,0.89
Tor1aip2,1.17,0.06,1.34,0.0
Tor1b,1.26,0.0,1.22,0.0
Tor2a,-1.01,0.85,-1.06,0.2
Tor4a,1.1,0.14,1.01,0.89
Tox4,1.24,0.0,1.32,0.0
Tp53,1.16,0.05,1.03,0.65
Tp53i11,1.07,0.47,1.06,0.45
Tp53i13,-1.04,0.72,-1.27,0.1
Tp53inp2,1.19,0.04,1.3,0.01
Tp53rk,-1.1,0.19,-1.08,0.3
